setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.001_0.2,0,16.34,10.117,0.185,0.962,19.269,1.209,19.231,203.3,0.2
01_0.99_256_0.001_0.2,0,16.74,4.28,0.139,1.0,20.0,1.056,9.091,81.66,0.24
01_0.99_256_0.001_0.2,0,20.29,6.615,0.088,0.941,18.882,1.591,11.765,89.36,0.23
01_0.99_256_0.001_0.2,0,14.53,6.226,0.165,1.0,20.0,1.263,0.0,45.11,0.17
01_0.99_256_0.001_0.2,0,8.86,10.117,0.735,1.0,20.0,4.441,100.0,35.54,0.21
01_0.99_256_0.001_0.2,5000,0,44.747,0.438,0.968,25.0,3.245,100.0,35.19,0.08
01_0.99_256_0.001_0.2,5000,0,44.747,0.438,0.968,25.0,3.245,100.0,36.37,0.08
01_0.99_256_0.001_0.2,5000,0,54.086,0.407,0.967,25.0,2.983,100.0,32.95,0.09
01_0.99_256_0.001_0.2,10000,0,53.696,0.401,0.967,50.0,2.939,100.0,35.09,0.09
01_0.99_256_0.001_0.2,10000,0,53.696,0.401,0.967,1.0,2.939,100.0,35.02,0.09
01_0.99_256_0.001_0.2,5000,0,59.922,0.541,0.962,1.0,2.544,100.0,25.16,0.08
01_0.99_256_0.001_0.2,15000,0,43.191,0.455,0.975,1.0,3.367,100.0,36.6,0.05
01_0.99_256_0.001_0.2,15000,0,53.696,0.4,0.967,1.0,2.928,100.0,35.92,0.09
01_0.99_256_0.001_0.2,19530,0,54.086,0.402,0.967,1.0,2.945,100.0,34.53,0.09
01_0.99_256_0.001_0.2,19530,0,43.191,0.455,0.983,1.0,3.356,100.0,35.79,0.06
01_0.99_256_0.001_0.2,19530,0,43.191,0.455,0.983,1.0,3.356,100.0,35.0,0.06
01_0.99_256_0.001_0.2,10000,0,66.148,0.149,0.957,1.0,1.83,100.0,35.08,0.11
01_0.99_256_0.001_0.2,10000,0,19.844,0.141,0.946,1.0,1.708,100.0,34.73,0.12
01_0.99_256_0.001_0.2,5000,0,14.786,0.14,0.951,1.0,1.696,100.0,36.93,0.14
01_0.99_256_0.001_0.2,5000,0,66.926,0.148,0.957,1.0,1.818,100.0,32.72,0.11
01_0.99_256_0.001_0.2,5000,0,61.089,0.08,0.929,1.0,1.425,100.0,27.84,0.07
01_0.99_256_0.001_0.2,10000,0,61.479,0.077,0.93,1.0,1.378,100.0,28.26,0.07
01_0.99_256_0.001_0.2,15000,0,22.179,0.107,0.935,1.0,1.457,100.0,32.87,0.1
01_0.99_256_0.001_0.2,10000,0,17.51,0.071,0.918,1.0,1.237,100.0,32.67,0.1
01_0.99_256_0.001_0.2,15000,0,91.44,0.302,0.056,1.0,0.814,100.0,10.73,0.46
01_0.99_256_0.001_0.2,15000,0,54.475,0.164,0.932,1.0,1.52,100.0,23.14,0.08
01_0.99_256_0.001_0.2,19530,0,54.475,0.163,0.919,1.0,1.498,100.0,23.53,0.07
01_0.99_256_0.001_0.2,5000,0,46.693,0.287,0.877,1.0,1.181,100.0,22.88,0.06
01_0.99_256_0.001_0.2,10000,0,17.51,0.071,0.918,1.0,1.237,100.0,38.39,0.1
01_0.99_256_0.0005_0.2,5000,0,20.233,0.031,0.911,1.0,1.135,100.0,42.64,0.22
01_0.99_256_0.0005_0.2,15000,0,21.401,0.063,0.933,1.0,1.086,100.0,33.7,0.11
01_0.99_256_0.0005_0.2,15000,0,59.533,0.064,0.952,1.0,1.135,100.0,37.71,0.12
01_0.99_256_0.0005_0.2,5000,0,77.043,0.215,0.963,1.0,2.203,98.99,34.99,0.11
01_0.99_256_0.0005_0.2,5000,0,58.366,0.055,0.951,1.0,1.103,100.0,37.81,0.12
01_0.99_256_0.0005_0.2,19530,0,11.673,0.09,1.0,1.0,1.181,100.0,31.96,0.17
