age,two_year_recid,priors_count,length_of_stay,c_charge_degree_M,race_Other,sex_Male,score
-0.5897435897435899,1.0,-1.0,-0.9725,-1.0,-1.0,1.0,1
0.3076923076923077,-1.0,-1.0,-0.9975,-1.0,1.0,1.0,1
-0.8461538461538463,1.0,-0.7894736842105264,-0.995,-1.0,-1.0,1.0,1
-0.33333333333333337,-1.0,-1.0,-0.995,1.0,1.0,1.0,1
-0.41025641025641024,1.0,-0.26315789473684215,-0.9825000000000002,-1.0,1.0,1.0,1
-0.35897435897435903,-1.0,-0.8421052631578948,-0.9975,-1.0,1.0,1.0,1
-0.46153846153846145,-1.0,-1.0,-0.9925,1.0,1.0,-1.0,1
-0.7692307692307694,-1.0,-1.0,-0.995,-1.0,1.0,1.0,1
-0.8717948717948718,1.0,-0.8421052631578948,-0.9875,1.0,-1.0,1.0,1
-0.512820512820513,-1.0,-1.0,-0.9975,1.0,1.0,-1.0,1
-0.41025641025641024,-1.0,-1.0,-0.9975,-1.0,-1.0,1.0,1
-0.2564102564102564,1.0,-0.9473684210526316,-0.9625,-1.0,1.0,-1.0,1
-0.6666666666666667,1.0,-0.6315789473684212,-0.99,-1.0,-1.0,1.0,1
-0.512820512820513,-1.0,-1.0,-0.9975,1.0,1.0,1.0,1
-0.8205128205128206,-1.0,-0.8421052631578948,-0.995,-1.0,-1.0,1.0,0
-0.6666666666666667,1.0,-0.6842105263157896,-0.995,-1.0,1.0,1.0,1
-0.6666666666666667,1.0,-0.736842105263158,-0.995,-1.0,1.0,1.0,1
0.17948717948717952,1.0,-0.3157894736842106,-0.995,-1.0,-1.0,1.0,1
-0.9230769230769232,1.0,-0.9473684210526316,-0.99,-1.0,-1.0,1.0,0
-0.7692307692307694,1.0,-1.0,-0.9975,1.0,1.0,1.0,1
-0.9230769230769232,-1.0,-1.0,-0.995,-1.0,1.0,-1.0,1
-0.8461538461538463,1.0,-0.9473684210526316,-0.9975,-1.0,1.0,1.0,1
-0.35897435897435903,-1.0,-0.9473684210526316,-0.995,1.0,1.0,1.0,1
-0.641025641025641,-1.0,-1.0,-0.995,1.0,1.0,1.0,1
-0.7692307692307694,1.0,-0.5789473684210529,-0.955,-1.0,-1.0,1.0,1
-0.7948717948717949,1.0,-0.736842105263158,-0.9975,-1.0,-1.0,1.0,1
-0.6153846153846154,1.0,-1.0,-0.905,-1.0,-1.0,1.0,0
-0.6923076923076924,1.0,-0.5263157894736844,-0.8875,-1.0,1.0,1.0,0
-0.641025641025641,1.0,-0.7894736842105264,-0.995,-1.0,-1.0,1.0,0
-0.05128205128205143,-1.0,-1.0,-0.9925,-1.0,1.0,1.0,1
-0.20512820512820518,1.0,-0.6315789473684212,-0.99,-1.0,1.0,1.0,1
-0.6153846153846154,1.0,-0.7894736842105264,-0.97,1.0,1.0,-1.0,1
-0.8461538461538463,1.0,-0.9473684210526316,-0.995,1.0,1.0,1.0,1
-0.5897435897435899,1.0,0.10526315789473673,-0.915,-1.0,-1.0,1.0,0
-0.7179487179487181,-1.0,-1.0,-1.0,1.0,1.0,1.0,1
-0.9230769230769232,-1.0,-0.8947368421052632,-0.8,-1.0,-1.0,-1.0,0
-0.15384615384615385,-1.0,-0.8947368421052632,-0.995,1.0,-1.0,1.0,1
-0.7179487179487181,1.0,-0.8947368421052632,-0.9975,1.0,1.0,1.0,1
-0.15384615384615385,-1.0,-0.6315789473684212,-0.995,-1.0,-1.0,-1.0,1
-0.7179487179487181,1.0,-1.0,-0.9975,-1.0,-1.0,1.0,1
-0.8205128205128206,1.0,-0.5263157894736844,-0.9825000000000002,1.0,1.0,1.0,0
-0.5641025641025642,1.0,-0.3157894736842106,-0.9975,-1.0,-1.0,1.0,0
-0.20512820512820518,-1.0,-1.0,-0.9975,1.0,1.0,1.0,1
-0.7179487179487181,-1.0,-1.0,-0.9975,-1.0,-1.0,1.0,1
-0.7179487179487181,1.0,-0.9473684210526316,-0.9975,-1.0,1.0,1.0,1
-0.7435897435897436,-1.0,-1.0,-0.9975,-1.0,1.0,-1.0,1
-0.6666666666666667,-1.0,-0.21052631578947378,-0.6599999999999999,-1.0,-1.0,1.0,1
-0.8461538461538463,1.0,-0.8947368421052632,-0.995,-1.0,-1.0,1.0,1
-0.6923076923076924,-1.0,-1.0,-0.94,1.0,1.0,1.0,1
-0.20512820512820518,-1.0,-0.7894736842105264,-0.9975,1.0,-1.0,1.0,1
-0.10256410256410242,-1.0,-0.5789473684210529,-0.965,-1.0,1.0,1.0,1
-0.5641025641025642,-1.0,-0.736842105263158,-0.9975,-1.0,-1.0,1.0,1
-0.7692307692307694,1.0,-0.21052631578947378,-0.995,-1.0,-1.0,1.0,0
