# {"t_start": 1702256277.8914988, "env_id": "adult-v01"} 
r,l,t
-143.273977,64,6.416809
81.903795,8,7.139691
-35.786682,34,8.914134
13.029844,21,10.093173
80.413276,4,10.503226
-153.687077,51,12.682899
-93.84609,44,14.756146
-45.194488,35,7122.166181
43.315621,17,7123.272821
14.161687,22,7124.532193
30.787775,11,7125.119418
50.828021,9,7125.70487
-189.897037,71,7129.0785
-61.303365,42,7131.246406
52.125241,11,7131.974523
-105.588606,45,7134.072166
-109.460371,53,7136.797488
-186.110641,48,7138.526744
22.941595,16,7139.412629
-243.087297,64,7141.905202
23.807438,24,7143.381524
41.790773,13,7144.189254
-134.254893,54,7146.73843
21.675803,16,7147.745392
-33.270278,34,7149.524529
81.96915,8,7150.249432
-44.563046,35,7152.032431
-382.79352,114,7157.133225
-221.04186,66,7160.043491
-172.180547,59,7162.66929
-112.225888,49,7164.983073
16.756137,32,7166.980101
-55.764032,29,7168.250122
-73.590802,41,7170.262454
93.411312,12,7171.357787
70.868688,7,7171.93312
37.182979,32,7174.191467
50.837964,8,7174.70269
36.656668,25,7176.328699
-58.300884,26,7177.374368
40.883223,9,7177.882171
21.838645,14,7178.621181
-26.827474,27,7179.962896
25.039754,23,7181.366446
-268.019136,78,7184.67994
60.794825,8,7185.259269
41.382067,12,7185.995647
-25.506645,27,7188.153923
61.379141,10,7188.885997
90.658294,4,7189.391999
80.850804,5,7189.89398
45.319564,21,7191.296483
71.857161,9,7192.02765
-12.775821,39,7194.318714
62.206455,13,7195.270581
3.25644,20,7196.30731
-225.457488,54,7198.196972
-17.860822,20,7199.091789
-86.357292,32,7200.367903
-25.236594,33,7202.271632
2.846289,21,7203.377057
-3.140363,32,7205.225456
43.25619,18,7206.408823
-154.830004,53,7208.713068
-34.418034,34,7210.498348
31.713361,14,7211.309709
-5.381023,28,7213.219209
32.408676,18,7214.334157
-182.120172,55,7216.715231
-16.859711,33,7218.584664
70.683188,6,7219.094957
-4.700085,26,7220.507674
40.867593,10,7221.093917
-37.096117,22,7221.994305
-546.174663,152,7229.593109
-122.402529,45,7231.473948
90.554315,4,7231.968797
72.039287,10,7232.745524
100.420351,2,7233.151256
-104.220001,41,7234.900867
-113.298164,48,7237.142071
80.518713,5,7237.647917
90.851092,4,7238.152649
