# {"t_start": 1702349791.8609135, "env_id": "compas-v01"} 
r,l,t
89.995,2,1.221105
69.995,4,1.271113
99.9995,1,1.315763
99.9995,1,1.359959
59.996595,5,1.412022
99.996595,1,1.454258
89.9995,2,1.497898
89.996595,2,1.542727
89.995,2,1.58698
89.996595,2,1.631212
99.995,1,1.674744
99.996595,1,1.717683
99.997064,1,1.76214
89.996595,2,1.80879
99.995,1,1.853219
49.995,6,1.905841
79.9995,3,1.954426
89.9995,2,2.000737
99.9995,1,2.045004
89.995,2,2.091314
99.995,1,2.136546
69.995,4,2.187413
99.997064,1,2.232326
79.996595,3,2.280344
89.996595,2,2.326646
99.995,1,2.372101
89.996595,2,2.419199
99.995,1,2.463089
99.996595,1,2.50718
99.9995,1,2.551427
69.995,4,2.601257
99.9995,1,2.649273
79.995,3,2.699816
89.995,2,2.746831
89.9995,2,2.794175
99.9995,1,2.838356
89.995,2,2.88497
89.9995,2,2.931822
99.996595,1,2.976221
79.996595,3,3.02866
99.997064,1,3.07378
49.996595,6,3.125968
99.9995,1,3.168694
49.995,6,3.221199
79.9995,3,3.267125
99.997064,1,3.309777
99.996595,1,3.352269
99.996595,1,3.398695
89.995,2,3.443279
89.996595,2,3.487879
59.996595,5,3.538408
99.996595,1,3.581157
89.995,2,3.625322
89.997064,2,3.670377
89.995,2,3.714616
99.995,1,3.761649
99.997064,1,3.80548
99.997064,1,3.847863
69.996595,4,3.895892
89.995,2,3.940545
99.9995,1,3.983256
69.996595,4,4.031603
99.995,1,4.074107
99.997064,1,4.117828
79.997064,3,4.164545
99.996595,1,4.207264
99.995,1,4.252569
89.997064,2,4.298797
99.996595,1,4.342773
89.996595,2,4.388462
89.997064,2,4.433667
79.995,3,4.47929
79.995,3,4.527465
29.996595,8,4.588924
89.995,2,4.636115
89.995,2,4.682604
99.997064,1,4.726554
99.995,1,4.770646
99.996595,1,4.815744
59.997064,5,4.86665
99.997064,1,4.911728
39.9995,7,4.967464
69.9995,4,5.017486
49.996595,6,5.071556
79.997064,3,5.122514
99.996595,1,5.166723
-0.005,11,5.230143
69.997064,4,5.27934
89.995,2,5.324825
99.997064,1,5.366601
99.995,1,5.409556
79.9995,3,5.454969
59.995,5,5.503781
79.996595,3,5.549575
89.9995,2,5.592951
99.996595,1,5.638198
99.9995,1,5.680412
89.995,2,5.723663
69.9995,4,5.770577
99.995,1,5.813551
79.995,3,5.859227
89.9995,2,5.903055
99.996595,1,5.947259
99.996595,1,5.991462
79.996595,3,6.03918
79.995,3,6.087618
99.996595,1,6.13655
99.996595,1,6.181958
99.995,1,6.226292
99.996595,1,6.270087
79.995,3,6.318759
79.995,3,6.366629
89.996595,2,31.988178
99.9995,1,32.033174
99.9995,1,32.077806
89.995,2,32.124256
99.997064,1,32.169303
79.995,3,32.219088
99.995,1,32.264241
99.997064,1,32.309358
99.996595,1,32.354489
99.9995,1,32.399574
79.996595,3,32.449016
79.9995,3,32.497111
99.996595,1,32.542106
99.9995,1,32.586879
99.996595,1,32.631502
39.997064,7,32.68999
89.996595,2,32.737391
99.996595,1,32.782262
89.995,2,32.829444
89.995,2,32.880675
89.996595,2,32.926737
99.9995,1,32.96914
89.997064,2,33.014104
99.997064,1,33.057336
89.997064,2,33.102371
89.996595,2,33.14684
89.995,2,33.192113
99.996595,1,33.235286
99.9995,1,33.277793
89.9995,2,33.322583
89.995,2,33.36903
89.995,2,33.415348
89.997064,2,33.460523
79.9995,3,33.507982
89.995,2,33.553528
99.997064,1,33.59658
89.995,2,33.641843
99.995,1,33.685325
89.996595,2,33.730372
79.996595,3,33.777267
69.9995,4,33.82741
99.997064,1,33.870615
79.996595,3,33.917494
89.996595,2,33.962583
89.995,2,34.008286
99.997064,1,34.052991
99.995,1,34.097499
99.995,1,34.14189
89.996595,2,34.187868
89.996595,2,34.232507
89.995,2,34.279947
99.996595,1,34.322734
89.996595,2,34.367437
99.995,1,34.410765
89.9995,2,34.455795
79.997064,3,34.503069
99.996595,1,34.546407
89.9995,2,34.590893
99.995,1,34.633798
59.996595,5,34.685149
79.9995,3,34.731503
89.996595,2,34.776012
39.996595,7,34.831946
99.997064,1,34.875163
89.995,2,34.92016
99.9995,1,34.96265
49.995,6,35.016876
89.995,2,35.061906
99.995,1,35.105085
79.997064,3,35.154462
79.995,3,35.204163
99.995,1,35.248782
89.996595,2,35.295899
59.995,5,35.349446
79.9995,3,35.399303
99.9995,1,35.444527
39.997064,7,35.501995
99.996595,1,35.546958
79.996595,3,35.595874
99.995,1,35.640618
89.9995,2,35.69109
99.996595,1,35.736067
39.995,7,35.795666
99.996595,1,35.840915
99.996595,1,35.885973
89.995,2,35.933211
99.995,1,35.977998
79.995,3,36.027229
79.995,3,36.076713
69.997064,4,36.128772
69.9995,4,36.180162
99.995,1,36.225326
89.9995,2,36.272227
49.9995,6,36.328341
99.995,1,36.373002
99.995,1,36.417854
89.9995,2,36.464618
89.997064,2,36.511875
89.997064,2,36.559304
79.9995,3,36.608435
99.997064,1,36.653183
69.997064,4,36.704506
79.997064,3,36.753393
79.996595,3,36.802655
89.997064,2,36.850208
79.996595,3,36.899693
99.995,1,36.944951
89.995,2,36.991929
99.996595,1,37.03756
69.996595,4,37.09403
79.9995,3,37.14447
99.9995,1,37.189343
89.997064,2,37.237151
99.996595,1,37.282476
99.995,1,37.327595
99.9995,1,37.372608
99.997064,1,37.417698
99.997064,1,37.462423
59.997064,5,37.516124
99.9995,1,37.73569
99.997064,1,37.78042
69.995,4,37.832778
89.995,2,37.879841
59.996595,5,37.934204
89.995,2,37.981177
99.996595,1,38.026322
89.995,2,38.073785
49.9995,6,38.129452
49.995,6,38.186387
59.996595,5,38.239804
79.995,3,38.289702
89.995,2,38.337401
89.996595,2,38.384971
89.995,2,38.43376
99.995,1,38.480075
99.996595,1,38.526123
69.997064,4,38.578454
99.995,1,38.623219
99.995,1,38.668335
99.9995,1,38.712845
69.996595,4,38.764379
59.996595,5,38.819309
69.995,4,38.870677
99.997064,1,38.915807
89.996595,2,38.963413
99.996595,1,39.00838
99.995,1,39.053665
99.996595,1,39.098318
49.9995,6,39.154259
99.996595,1,39.199202
79.995,3,39.248467
89.997064,2,39.295436
79.995,3,39.345137
79.996595,3,39.395127
99.9995,1,39.440494
99.995,1,39.485466
99.995,1,39.531244
99.9995,1,39.57611
89.997064,2,39.623993
89.996595,2,39.671658
99.996595,1,39.716458
99.997064,1,39.761219
99.995,1,39.806799
99.9995,1,39.85163
99.996595,1,39.896888
89.997064,2,39.944787
79.996595,3,39.994288
99.996595,1,40.039145
99.997064,1,40.083714
99.997064,1,40.131785
99.996595,1,40.179445
39.997064,7,40.238366
79.996595,3,40.287726
79.996595,3,40.33643
89.997064,2,40.383256
99.997064,1,40.428452
19.9995,9,40.491763
99.996595,1,40.536825
59.996595,5,40.589048
99.995,1,40.633754
99.996595,1,40.678879
99.9995,1,40.723546
49.996595,6,40.779946
69.997064,4,40.83186
99.996595,1,40.87691
59.997064,5,40.930945
99.995,1,40.976176
89.995,2,41.023396
79.9995,3,41.072889
49.996595,6,41.130291
99.996595,1,41.175812
89.997064,2,41.222914
99.996595,1,41.295202
89.995,2,41.368438
99.995,1,41.432375
99.9995,1,41.477169
89.996595,2,41.524429
89.997064,2,41.57175
89.995,2,41.618205
89.9995,2,41.664771
99.995,1,41.709827
99.995,1,41.757092
79.9995,3,41.80547
89.995,2,41.851714
79.995,3,41.900327
99.996595,1,41.945291
69.995,4,41.99544
99.996595,1,42.040267
69.995,4,42.089658
89.996595,2,42.136297
99.996595,1,42.181199
79.996595,3,42.231415
99.995,1,42.276357
99.997064,1,42.321409
99.995,1,42.36624
79.996595,3,42.416159
99.995,1,42.461438
99.995,1,42.506607
89.995,2,42.553689
89.996595,2,42.600301
69.996595,4,42.651444
59.9995,5,42.705381
99.9995,1,42.750189
99.995,1,42.795463
69.996595,4,42.846522
99.996595,1,42.891396
99.995,1,42.936793
89.996595,2,42.983531
79.997064,3,43.033528
99.996595,1,43.078546
99.995,1,43.12333
79.997064,3,43.172799
99.996595,1,43.217813
89.996595,2,43.439734
99.996595,1,43.485079
99.995,1,43.53037
99.9995,1,43.575404
79.995,3,43.624961
89.996595,2,43.672549
99.9995,1,43.717679
79.995,3,43.76713
99.996595,1,43.81202
89.995,2,43.859234
79.995,3,43.909165
99.9995,1,43.954134
99.995,1,43.999137
99.9995,1,44.044606
99.995,1,44.089683
99.995,1,44.134611
99.9995,1,44.179923
89.996595,2,44.226727
99.996595,1,44.271358
99.9995,1,44.316481
79.997064,3,44.366669
49.997064,6,44.423588
99.995,1,44.468538
89.9995,2,44.515508
99.9995,1,44.560408
79.995,3,44.610656
89.9995,2,44.659958
59.995,5,44.711464
49.997064,6,44.766361
69.995,4,44.817713
99.996595,1,44.862098
99.995,1,44.906857
39.9995,7,44.961961
49.9995,6,45.014973
89.997064,2,45.084873
89.996595,2,45.136904
99.995,1,45.183026
99.996595,1,45.228324
99.996595,1,45.273172
59.995,5,45.325942
99.997064,1,45.370904
89.996595,2,45.417864
89.9995,2,45.464411
89.996595,2,45.510576
99.995,1,45.555149
99.995,1,45.599995
69.995,4,45.649921
99.996595,1,45.694611
89.995,2,45.74158
99.9995,1,45.786296
89.996595,2,45.832576
69.995,4,45.88324
79.996595,3,45.932575
99.995,1,45.977561
99.9995,1,46.048347
89.996595,2,46.127152
99.996595,1,46.192698
99.997064,1,46.239586
99.996595,1,46.285728
99.996595,1,46.330348
79.996595,3,46.378934
99.995,1,46.42416
89.996595,2,46.470736
99.997064,1,46.51556
79.995,3,46.564876
69.995,4,46.614294
79.996595,3,46.66267
99.996595,1,46.707214
89.996595,2,46.753851
99.995,1,46.798578
79.995,3,46.84841
79.997064,3,46.896381
69.995,4,46.946191
79.995,3,46.994804
79.995,3,47.042686
89.996595,2,47.089013
79.995,3,47.137198
89.9995,2,47.207237
39.995,7,47.288775
49.996595,6,47.341251
59.995,5,47.392453
99.996595,1,47.437085
69.996595,4,47.485884
89.996595,2,47.532324
99.996595,1,47.576523
99.996595,1,47.621128
89.995,2,47.667249
99.9995,1,47.711615
39.996595,7,47.766275
89.9995,2,47.814024
79.9995,3,47.863862
99.996595,1,47.910285
79.995,3,47.960134
99.9995,1,48.004146
99.996595,1,48.048856
49.995,6,48.103039
99.996595,1,48.147521
59.9995,5,48.199437
59.995,5,48.251331
89.9995,2,48.298113
99.997064,1,48.342112
99.995,1,48.386366
89.997064,2,48.432119
99.996595,1,48.476016
99.9995,1,48.520205
79.995,3,48.569268
99.995,1,48.613808
39.995,7,48.669089
99.9995,1,48.713449
49.996595,6,48.899736
89.995,2,48.947754
89.997064,2,48.994588
99.995,1,49.039464
99.997064,1,49.085062
99.995,1,49.131492
99.995,1,49.176876
89.997064,2,49.223895
89.997064,2,49.270963
99.997064,1,49.316092
99.997064,1,49.366992
89.9995,2,49.440372
79.997064,3,49.488523
9.997064,10,49.55063
89.995,2,49.596808
59.995,5,49.650111
99.997064,1,49.696988
99.9995,1,49.744003
99.995,1,49.789977
99.995,1,49.834487
99.995,1,49.879418
69.996595,4,49.93053
59.996595,5,49.983171
99.997064,1,50.02772
69.995,4,50.077888
99.997064,1,50.122759
99.996595,1,50.167851
69.995,4,50.218503
99.996595,1,50.262827
99.9995,1,50.307664
79.995,3,50.355558
89.996595,2,50.40182
89.996595,2,50.448817
99.9995,1,50.493795
49.997064,6,50.550412
99.995,1,50.59801
99.997064,1,50.669139
89.997064,2,50.725204
79.995,3,50.773451
29.996595,8,50.832353
99.995,1,50.877063
89.9995,2,50.923104
99.995,1,50.967144
69.995,4,51.017739
89.997064,2,51.06708
99.996595,1,51.111385
99.997064,1,51.155455
89.995,2,51.202182
79.9995,3,51.250454
99.996595,1,51.296222
99.996595,1,51.342739
99.996595,1,51.389328
39.995,7,51.446978
89.995,2,51.493249
89.995,2,51.539459
79.995,3,51.587316
79.996595,3,51.636432
79.997064,3,51.684852
99.995,1,51.744555
69.9995,4,51.823427
99.996595,1,51.894025
89.995,2,51.943776
89.9995,2,51.990493
99.9995,1,52.034968
69.995,4,52.084657
99.996595,1,52.129258
99.996595,1,52.174458
69.996595,4,52.22524
69.995,4,52.275948
79.996595,3,52.323691
79.995,3,52.372154
69.995,4,52.422894
79.997064,3,52.470713
49.995,6,52.523344
69.996595,4,52.57318
9.997064,10,52.634392
79.995,3,52.68222
99.995,1,52.745284
99.997064,1,52.816873
79.9995,3,52.891857
79.9995,3,52.941174
99.9995,1,52.986031
89.995,2,53.032353
89.996595,2,53.079333
99.995,1,53.124228
99.9995,1,53.169405
99.995,1,53.218165
79.997064,3,53.269936
89.996595,2,53.318778
89.995,2,53.366833
89.9995,2,53.413327
79.9995,3,53.461808
99.9995,1,53.506351
99.995,1,53.551169
99.995,1,53.595742
79.997064,3,53.644498
99.9995,1,53.689467
99.995,1,53.734477
89.9995,2,53.781216
99.9995,1,53.825884
99.996595,1,53.870676
89.997064,2,53.924569
99.995,1,53.994845
89.996595,2,54.041577
99.996595,1,54.086508
69.9995,4,54.13763
99.995,1,54.182799
69.996595,4,54.233592
99.997064,1,54.27844
89.997064,2,54.325286
69.996595,4,54.50259
89.9995,2,54.549595
99.9995,1,54.593902
99.995,1,54.638192
89.996595,2,54.684688
89.9995,2,54.730821
79.996595,3,54.778718
69.995,4,54.829746
99.995,1,54.873876
99.996595,1,54.918142
99.995,1,54.962812
69.996595,4,55.012182
89.997064,2,55.058253
99.997064,1,55.102682
99.995,1,55.14703
99.996595,1,55.191371
99.9995,1,55.235517
89.9995,2,55.281708
89.996595,2,55.332186
89.995,2,55.37894
39.997064,7,55.434507
49.996595,6,55.488308
49.995,6,55.541036
19.997064,9,55.600205
69.995,4,55.650129
99.9995,1,55.69441
69.995,4,55.743477
99.995,1,55.787776
99.995,1,55.831491
99.996595,1,55.875895
89.9995,2,55.922285
89.997064,2,55.967754
89.996595,2,56.013348
99.9995,1,56.058191
99.995,1,56.101977
89.996595,2,56.147442
69.995,4,56.197855
99.995,1,56.241959
99.995,1,56.286018
99.995,1,56.329844
99.997064,1,56.373742
69.996595,4,56.423123
89.9995,2,56.469255
99.995,1,56.513393
99.997064,1,56.558214
99.996595,1,56.602293
89.995,2,56.64863
69.996595,4,56.698145
89.995,2,56.743643
89.995,2,56.789414
89.995,2,56.836028
69.996595,4,56.888115
99.997064,1,56.932997
89.995,2,56.980146
99.996595,1,57.025002
59.997064,5,57.076934
89.996595,2,57.123216
99.995,1,57.167485
99.9995,1,57.211911
99.995,1,57.255906
79.9995,3,57.303229
99.9995,1,57.346735
99.996595,1,57.390429
69.995,4,57.440011
99.997064,1,57.484796
89.996595,2,57.530581
89.995,2,57.576854
59.9995,5,57.627542
89.9995,2,57.674684
89.997064,2,57.720907
89.9995,2,57.766718
99.996595,1,57.812276
89.995,2,57.858797
79.997064,3,57.906634
79.995,3,57.954536
99.996595,1,57.998535
79.995,3,58.046777
59.996595,5,58.099617
99.997064,1,58.143928
89.995,2,58.190288
99.996595,1,58.234371
9.997064,10,58.296116
99.9995,1,58.340277
79.995,3,58.3879
99.997064,1,58.432503
49.995,6,58.486227
79.996595,3,58.533581
99.996595,1,58.577544
79.996595,3,58.624348
99.996595,1,58.668571
89.996595,2,58.714818
99.996595,1,58.759281
89.997064,2,58.805887
89.997064,2,58.851539
79.995,3,58.899117
49.995,6,58.951982
79.995,3,58.999577
89.9995,2,59.045655
99.9995,1,59.089457
89.995,2,59.135021
99.996595,1,59.179697
89.996595,2,59.225475
99.995,1,59.269587
69.995,4,59.320073
99.995,1,59.36368
89.997064,2,59.409404
89.997064,2,59.455684
79.996595,3,59.502509
89.997064,2,59.548243
99.997064,1,59.592125
99.995,1,59.635815
99.996595,1,59.680268
99.996595,1,59.723619
69.996595,4,59.899712
99.997064,1,59.943569
79.995,3,59.994459
99.997064,1,60.039576
79.995,3,60.087506
69.9995,4,60.137014
79.9995,3,60.184299
99.996595,1,60.228646
89.995,2,60.274808
69.995,4,60.325764
79.995,3,60.373565
89.995,2,60.420529
99.995,1,60.465735
59.997064,5,60.516717
99.996595,1,60.56094
99.995,1,60.604732
99.996595,1,60.648965
89.996595,2,60.69485
99.996595,1,60.738499
89.9995,2,60.784199
79.9995,3,60.831387
89.996595,2,60.876853
79.9995,3,60.924575
69.9995,4,60.973181
39.996595,7,61.028758
89.995,2,61.075185
59.997064,5,61.126948
99.997064,1,61.170943
99.996595,1,61.214642
99.995,1,61.25897
99.997064,1,61.302978
99.995,1,61.347088
79.996595,3,61.395178
89.996595,2,61.441698
99.997064,1,61.486073
79.995,3,61.534385
89.997064,2,61.580177
69.996595,4,61.630223
99.997064,1,61.674586
49.995,6,61.727694
99.9995,1,61.771515
69.996595,4,61.821885
99.997064,1,61.86616
99.995,1,61.910314
89.9995,2,61.956294
89.995,2,62.002196
99.9995,1,62.046709
99.995,1,62.090855
99.996595,1,62.13524
99.996595,1,62.179527
69.996595,4,62.228872
99.995,1,62.273218
99.995,1,62.31754
79.996595,3,62.365504
99.996595,1,62.409855
89.9995,2,62.455966
89.9995,2,62.502366
79.995,3,62.553799
59.9995,5,62.606511
89.996595,2,62.652921
89.996595,2,62.699819
69.995,4,62.749557
89.996595,2,62.796306
99.996595,1,62.840828
99.9995,1,62.885437
79.997064,3,62.934646
99.996595,1,62.979254
89.996595,2,63.025876
89.996595,2,63.072667
79.996595,3,63.120977
99.996595,1,63.16592
69.995,4,63.216672
79.996595,3,63.266391
89.997064,2,63.312444
99.996595,1,63.356495
99.996595,1,63.400486
79.997064,3,63.448455
99.996595,1,63.49279
89.996595,2,63.538802
89.996595,2,63.585549
69.9995,4,63.63588
89.9995,2,63.681853
59.997064,5,63.734121
89.9995,2,63.781129
99.9995,1,63.825372
89.995,2,63.871886
99.995,1,63.916611
39.995,7,63.97179
99.996595,1,64.016074
99.995,1,64.060742
99.997064,1,64.104846
89.996595,2,64.150935
49.997064,6,64.203997
79.995,3,64.251822
99.997064,1,64.296461
59.996595,5,64.347682
89.995,2,64.394157
79.995,3,64.442572
89.996595,2,64.488863
99.9995,1,64.533037
59.997064,5,64.584306
99.996595,1,64.628378
99.9995,1,64.672644
99.9995,1,64.716767
99.996595,1,64.760892
99.995,1,64.805398
99.997064,1,64.84968
79.9995,3,64.898757
89.996595,2,64.94509
59.9995,5,64.996224
89.995,2,65.042421
79.9995,3,65.093022
89.995,2,65.266207
99.997064,1,65.311118
59.9995,5,65.36267
89.995,2,65.409032
99.997064,1,65.453817
89.997064,2,65.500001
69.997064,4,65.550527
89.996595,2,65.597602
79.997064,3,65.663611
99.9995,1,65.734962
99.995,1,65.806304
89.996595,2,65.862372
89.9995,2,65.909146
89.996595,2,65.955682
99.996595,1,66.000167
69.995,4,66.05066
99.995,1,66.094909
79.997064,3,66.142196
99.996595,1,66.186243
89.995,2,66.23245
99.996595,1,66.2773
59.9995,5,66.329956
69.996595,4,66.38062
99.995,1,66.425265
99.997064,1,66.469665
99.9995,1,66.515093
99.995,1,66.561979
69.997064,4,66.613214
89.9995,2,66.659439
99.996595,1,66.703796
39.995,7,66.76826
89.995,2,66.843572
89.995,2,66.921787
89.996595,2,66.982818
89.995,2,67.028903
99.996595,1,67.073661
99.996595,1,67.118049
99.9995,1,67.162279
89.996595,2,67.208195
69.997064,4,67.258673
89.997064,2,67.305204
59.996595,5,67.356849
69.996595,4,67.406924
89.996595,2,67.453017
89.996595,2,67.499193
99.9995,1,67.543815
19.996595,9,67.603818
99.997064,1,67.653456
79.995,3,67.702211
89.996595,2,67.760688
89.995,2,67.834222
99.9995,1,67.904808
99.995,1,67.957737
99.9995,1,68.002634
89.996595,2,68.049417
99.996595,1,68.093929
99.996595,1,68.138069
89.9995,2,68.185209
79.996595,3,68.23558
69.996595,4,68.288391
99.996595,1,68.334225
99.996595,1,68.379081
99.997064,1,68.424376
99.996595,1,68.469353
79.996595,3,68.518353
89.995,2,68.566369
69.9995,4,68.618217
29.996595,8,68.679132
89.995,2,68.726134
39.995,7,68.782746
89.995,2,68.829619
69.9995,4,68.881682
89.9995,2,68.92777
79.9995,3,68.975746
99.995,1,69.019668
99.995,1,69.064518
79.997064,3,69.112983
89.996595,2,69.1596
39.9995,7,69.214022
89.995,2,69.259882
99.9995,1,69.304497
69.996595,4,69.35425
99.997064,1,69.398345
99.997064,1,69.442894
99.995,1,69.487307
59.995,5,69.539472
99.996595,1,69.584079
89.995,2,69.629974
79.997064,3,69.678362
49.995,6,69.731814
39.996595,7,69.786959
79.9995,3,69.834692
99.995,1,69.87864
59.9995,5,69.930329
89.996595,2,69.976336
89.995,2,70.021986
89.996595,2,70.068128
69.996595,4,70.118665
99.996595,1,70.163663
99.996595,1,70.208136
99.996595,1,70.25578
99.996595,1,70.302057
89.9995,2,70.34903
89.997064,2,70.397134
99.9995,1,70.442429
69.9995,4,70.492505
89.997064,2,70.667471
99.997064,1,70.736615
79.996595,3,70.798638
-0.0005,11,70.861126
99.996595,1,70.908553
9.995,10,70.969963
89.995,2,71.016432
89.997064,2,71.062798
99.995,1,71.107038
89.997064,2,71.152929
89.995,2,71.199191
89.995,2,71.246207
89.995,2,71.294038
89.997064,2,71.342466
99.995,1,71.38905
99.995,1,71.435018
79.996595,3,71.482944
79.9995,3,71.530432
89.995,2,71.577407
99.9995,1,71.62161
99.995,1,71.666306
89.996595,2,71.712846
69.995,4,71.793227
89.995,2,71.866934
99.995,1,71.926965
99.996595,1,71.971538
89.996595,2,72.018484
79.995,3,72.066603
99.997064,1,72.111124
99.997064,1,72.155367
99.995,1,72.199787
99.997064,1,72.243931
89.995,2,72.289876
99.996595,1,72.334134
89.996595,2,72.380279
89.996595,2,72.426539
59.995,5,72.478439
79.997064,3,72.525687
99.996595,1,72.570045
89.9995,2,72.631093
89.996595,2,72.705981
99.9995,1,72.777001
69.9995,4,72.831116
