# {"t_start": 1702366737.8647463, "env_id": "german-nr-v01"} 
r,l,t
-431.434432,125,1.662746
-7298.464142,1993,8.833692
-4297.962017,1291,13.929884
-3344.100206,931,17.123001
-493.836861,170,17.781917
-4618.602701,1300,22.465694
-1649.119827,459,24.336135
-1839.766733,496,26.095472
-4991.899893,1301,30.66767
-1642.957573,504,32.480659
-1500.77525,408,33.975846
-1758.042148,545,35.897642
-3473.948786,1018,39.470181
-1564.823964,487,41.202422
-4428.766454,1294,45.823785
-819.924425,221,46.503292
-6271.189831,1737,52.824813
-6483.449458,1803,59.145507
-2205.764906,676,61.527624
-2757.917049,838,64.570302
-3287.28987,908,67.867259
-3097.179559,871,71.237681
-4258.649407,1297,75.876538
-2527.312013,762,78.669373
-6307.581464,1777,85.391638
-973.064495,268,86.443334
-1990.128387,588,88.809159
-1594.149144,534,90.834921
-5433.962507,1546,96.55801
-689.312803,212,97.204176
-2450.888683,757,99.971981
-716.629983,253,100.900947
-1649.438806,523,102.795014
-906.527443,247,103.847714
-1040.082644,307,105.110093
-2152.001656,670,107.482743
-2782.094097,863,110.773645
-1415.662972,432,112.322064
-820.416356,269,113.321876
-1834.422872,597,115.953517
-1249.834506,384,117.699198
-1377.621597,425,119.322549
-1463.996945,464,121.137616
-2432.631467,729,123.763783
-2439.84043,693,126.463494
-1636.51321,558,128.600955
-1866.772812,649,131.295691
-789.845326,206,132.23291
-470.778396,191,132.851035
-1357.203312,399,134.56522
-2787.786135,829,138.038457
-5825.767964,1819,145.796952
-1535.88361,492,147.720795
-1595.327318,470,150.117419
-2942.735064,761,153.045644
-886.471801,315,154.139938
-647.884596,246,155.052431
-1110.837983,423,156.595697
-877.065639,289,157.61742
-928.203027,282,158.664817
-1745.515732,497,160.476879
-2476.648654,758,163.505874
-676.939296,272,164.492751
-462.587866,190,165.29375
-2387.259508,661,167.524395
-2656.617384,822,171.322448
-637.536872,215,172.259382
-586.152387,178,172.793105
-553.1521,169,173.46329
-488.066646,222,174.325301
-748.294968,212,175.12507
-790.041107,261,176.057761
-890.154741,297,177.173832
-774.330215,278,178.306588
-811.743361,290,179.342812
-2397.510836,815,183.393856
-981.93721,312,184.994937
-700.547668,226,185.971617
-596.388744,209,186.834784
-1275.428209,398,188.355871
-1856.683891,641,190.858532
-1500.257176,495,192.803178
-1074.490738,394,194.340754
-193.55823,99,194.665738
-1277.511454,481,196.381085
-897.387101,383,197.762732
-2219.109353,771,200.826439
-978.72019,392,202.446038
-4853.25008,1381,207.586368
-1285.023952,530,209.9842
-1554.430022,596,212.288596
-381.683713,156,212.765984
-336.296151,108,213.25644
-2206.287718,686,216.386564
-811.806237,284,217.533425
-768.693579,232,218.212375
-135.146641,94,218.655826
-763.113102,313,219.805172
-1205.556873,436,221.562984
-2593.622483,736,224.35003
-959.736142,374,225.642042
-190.351848,125,226.198832
-355.6206,176,226.947109
-395.916603,172,227.634585
-556.544286,224,228.492875
-251.514782,118,228.89953
-308.537221,151,229.534464
-1872.41477,629,232.252892
-278.84193,118,232.780863
-636.791227,258,234.434072
-547.29033,237,235.381593
-608.404624,223,236.231287
-1078.350676,399,237.731907
-470.306466,196,238.595342
-232.955294,147,239.200453
-416.732885,165,239.850678
-366.303849,175,240.549308
-597.499185,261,241.486926
-543.91447,178,242.054964
-513.732544,245,243.0862
-316.460229,130,243.780317
-374.502077,185,244.69093
-570.36253,239,245.671628
-321.211594,140,246.117028
-418.705313,192,246.860171
-1189.56347,433,248.51288
-278.020622,163,249.095384
-322.757408,167,249.796067
-447.392209,213,250.607579
-198.004814,114,250.979822
-553.066476,213,251.752418
-309.788131,149,252.334951
-213.674903,115,252.700115
-285.206051,130,253.227009
-171.809717,91,253.500275
-145.41009,99,253.805012
-226.794377,128,254.324701
-1208.434362,536,256.19291
-304.0221,150,256.671597
-305.203138,136,257.214419
-129.265525,82,257.487187
-476.126288,183,258.357187
-395.573661,183,259.033561
-275.888002,169,259.56114
-183.568674,98,260.037341
-391.522541,155,260.52812
-390.844383,182,261.201375
-209.182762,114,261.713173
-295.154488,143,262.2172
-192.28451,101,262.540308
-1381.945971,481,264.264549
-102.782092,103,264.758206
-261.175929,147,265.21192
-696.585791,349,266.926843
-102.901602,85,267.196901
-202.387415,123,267.737309
-169.365419,83,267.989925
-6554.721572,1940,275.171659
-402.854976,160,275.888823
-439.918505,215,276.713746
-353.889569,211,277.507052
-616.428529,294,278.538011
-275.786449,139,278.944726
-206.778233,120,279.477462
-534.678392,239,280.333831
-139.936673,117,280.678257
-234.330599,104,281.150953
-167.580655,105,281.484804
-362.005512,159,282.160304
-172.061604,116,282.533221
-176.014296,100,282.973251
-99.453483,77,283.241894
-177.658441,102,283.565886
-309.490557,155,284.170973
-322.926682,133,284.568184
-13.394991,79,285.006505
-131.694222,90,285.294521
-138.649893,108,285.618479
-54.456243,55,285.933006
-462.919293,191,286.634686
-225.40914,111,287.13784
-134.448922,60,287.325969
-364.153537,175,288.00603
-136.675902,83,288.260728
-128.606035,88,288.557437
-225.653044,82,288.952147
-239.259705,137,289.39136
-88.752124,110,289.852122
-305.954924,164,290.374829
-261.517572,128,290.906616
-99.975105,102,291.225696
-88.203067,75,291.642618
-222.035762,113,292.032639
-61.033923,89,292.30684
-325.221093,167,292.95358
-76.836967,64,293.153454
-151.592788,85,293.544977
-435.820624,212,294.200549
-186.290809,112,294.686439
-28.088962,59,294.882823
-0.556044,76,295.125813
-92.499159,95,295.573925
-114.066684,114,295.963878
-92.104092,103,296.438977
-92.069629,82,296.700982
-196.519766,155,297.333853
-130.667617,130,297.75177
-162.283477,102,298.068368
-177.154804,123,298.590782
-427.001403,175,299.238706
-138.69001,80,299.511268
-147.876994,104,299.835028
-179.662804,103,300.299237
-211.937112,98,300.605076
-1733.39671,650,303.025866
-406.538677,179,303.576524
-99.682866,75,303.970592
-155.618175,123,304.379305
-63.020814,77,304.614648
-155.954037,110,305.141563
-76.4647,67,305.344276
-255.046986,133,305.89081
-166.702557,109,306.237773
-112.929128,93,306.521423
-171.792596,99,307.063172
-5.21728,54,307.260317
-170.196354,81,307.548063
-50.63623,74,307.909045
-24.76483,54,308.073331
-226.597975,135,308.528762
-47.216017,70,308.875888
-272.333527,161,309.366121
-297.716617,134,309.956599
-118.653559,89,310.246413
-129.764481,89,310.554318
-103.475801,92,311.005893
-53.592459,89,311.284996
-159.306929,105,311.748501
-217.405277,125,312.179776
-90.326809,73,312.466454
-30.122404,98,312.912585
-13.489091,77,313.156393
-46.489637,63,313.35475
-106.150271,92,313.781756
-93.032262,111,314.123134
-106.161418,69,314.330687
-87.41974,64,314.681004
-400.188041,216,315.325747
-39.956024,71,315.735852
-65.546303,91,316.018824
-271.021633,116,316.54054
-55.910052,86,316.813289
-207.997123,112,317.145855
-115.165483,67,317.500975
-18.347972,62,317.710573
-54.959135,78,317.949299
22.746989,53,318.144758
-138.526338,94,318.60694
-22.807309,79,318.872701
-196.371674,133,319.424987
-121.103337,109,319.774459
-205.623733,137,320.229754
-22.826494,78,320.62615
-38.272034,66,320.83519
-133.402165,93,321.129991
-25.903997,58,321.454562
-48.40723,66,321.684093
