# {"t_start": 1702357745.1131442, "env_id": "german-v01"} 
r,l,t
-586.437932,195,2.047252
-834.550566,243,3.29965
-1344.938088,375,5.290621
-1767.39003,443,7.442205
-987.345083,306,9.169387
-1030.095973,295,10.682996
-999.319674,269,11.995876
-776.382994,231,13.20326
-1192.29613,362,15.039992
-898.829978,310,16.712373
-1382.539875,343,18.526402
-1491.837007,387,20.427042
-1346.393002,381,22.47475
-1180.463722,347,24.230942
-815.545418,262,25.571707
-1194.818403,339,27.240642
-1306.384957,365,29.174346
-2170.541817,520,31.737501
-1756.004147,444,33.984211
-1037.926517,294,35.4918
-1405.859774,396,37.486101
-802.972855,229,38.686494
-1336.891395,337,40.338523
-1213.84852,334,42.179684
-897.385536,254,43.495605
-927.498344,269,44.887176
-1138.970904,306,46.391136
-629.291812,195,47.424788
-793.15139,251,48.755633
-1431.207807,391,50.677122
-1228.235291,344,52.514109
-894.567917,278,53.954838
-734.983567,217,55.066033
-853.283124,284,56.539526
-873.841018,242,57.784349
-686.374737,243,59.101741
-834.310626,259,60.467399
-1468.711927,389,62.350982
-1299.189381,347,64.038952
-799.548622,239,65.282714
-734.343187,249,66.607444
-1212.226748,318,68.286832
-1627.772251,425,70.305884
-1504.954111,419,72.451462
-1074.023702,327,74.083133
-960.002811,304,75.650003
-1361.161109,356,77.509955
-1222.165482,326,79.072958
-1457.215579,388,81.062076
-1319.480162,370,82.85057
-1206.690318,345,84.551047
-1197.718437,315,86.223745
-922.051444,269,87.612181
-1512.148132,407,89.645624
-809.983377,233,90.820432
-1167.830397,322,92.417548
-1177.293378,329,94.155588
-1073.810875,284,95.566831
-1003.916323,281,96.965039
-1674.211195,414,98.892059
-1577.842029,422,101.084017
-1069.739582,329,102.731815
-1352.008808,369,104.695841
-1424.179812,424,107.016944
-1603.695221,456,109.224639
-748.774545,232,110.453812
-892.8594,260,111.798309
-1402.890213,402,113.95369
-1303.142143,329,115.575938
-1143.697399,356,117.394277
-1176.209454,333,119.199277
-690.134609,203,120.279749
-1236.525755,343,121.994076
-1135.786602,313,123.583326
-942.72224,280,125.006481
-1144.783374,374,127.182327
-1083.379436,344,129.01861
-940.11856,262,130.341999
-979.437918,250,131.585741
-988.417009,276,133.007562
-1049.38532,288,134.444198
-785.589355,239,135.734014
-732.661671,259,137.15154
-1138.011935,319,138.824354
-747.947467,226,140.022409
-514.121423,192,141.108585
-978.644139,292,142.62771
-1114.108909,299,144.139825
-1061.599354,303,145.793549
-937.672176,285,147.280849
-1799.940686,478,149.736192
-833.741528,234,150.824185
-1458.222049,431,153.185516
-1024.995884,310,154.798933
-1245.410882,344,156.792132
-926.904887,257,158.301301
-1032.813462,295,160.071678
-1061.67107,334,161.816438
-1610.486649,403,164.054611
-901.425444,310,165.796872
-682.338122,230,167.157147
-849.796896,282,168.873857
-725.329899,223,170.221519
-1082.540713,343,172.301891
-914.668102,266,173.913498
-906.390708,266,175.58213
-1548.016545,434,178.26094
-623.363271,229,179.584959
-728.163654,211,180.812217
-1021.27775,304,182.674423
-1074.613585,319,184.525114
-791.915257,264,186.054106
-991.701884,268,187.631215
-667.086594,222,189.099791
-926.536569,264,190.753124
-932.859768,276,192.394267
-690.539988,253,194.044537
-883.767887,248,195.544622
-1002.290751,298,197.275597
-1072.383629,332,199.492825
-1146.930218,354,202.125906
-656.449081,253,203.621566
-783.561135,247,204.93812
-1036.718053,303,206.486673
-663.612586,234,207.780354
-978.058709,288,209.268348
-1039.724053,292,210.715762
-1344.404917,377,212.755342
-1093.847739,312,214.289042
-1241.65688,318,215.884327
-858.209541,278,217.33193
-661.484652,242,218.641826
-930.043805,303,220.226629
-723.109193,240,221.529227
-819.705574,260,222.899636
-1251.828521,313,224.559083
-1027.527233,288,225.993578
-1063.320711,306,227.506838
-812.801705,232,228.680214
-1171.100341,334,230.381276
-992.9364,287,231.856458
-589.833873,215,233.009141
-1314.650805,405,235.215498
-1013.635094,286,236.659625
-1455.406997,423,238.738216
-1376.607526,401,240.831997
-1343.040711,327,242.374801
-957.315414,298,243.886383
-598.487538,192,244.899419
-1289.461935,368,246.837628
-798.302429,240,248.093598
-1033.027055,299,249.595634
-1148.054865,314,251.153898
-692.344157,264,252.554855
-825.750352,273,253.958285
-671.921775,268,255.405037
-1278.275405,343,257.11896
-1317.316234,347,258.947198
-607.099693,213,260.110324
-895.950109,264,261.479541
-786.270099,294,263.058996
-643.0537,228,264.272183
-1200.601299,343,265.98698
-780.450305,270,267.395417
-1268.197738,357,269.160308
-642.760155,221,270.36006
-932.55546,316,272.145962
-964.003166,305,273.697211
-744.684015,236,274.931218
-740.095591,260,276.289847
-700.62746,237,277.534555
-1097.372837,300,279.029783
-735.760969,253,280.362978
-1058.911728,315,281.943252
-1482.219724,379,283.780589
-981.38008,310,285.505319
-600.727282,197,286.423316
-540.916391,201,287.508011
-820.163521,278,288.955915
-618.26986,238,290.236039
-534.612409,230,291.512522
-831.499182,268,292.907135
-566.285051,219,294.101502
-690.916163,222,295.287333
-851.681143,251,296.564503
-616.309097,217,297.741864
-750.134934,236,298.994536
-599.976199,199,299.911763
-853.591724,231,301.100127
-622.39676,211,302.255733
-578.012993,222,303.471287
-1148.599828,354,305.25556
-872.25116,283,306.897906
-675.046433,225,307.971419
-594.072186,230,309.216705
-618.853716,216,310.376142
-902.212437,276,311.766722
-588.41173,237,313.052952
-708.409669,253,314.394
-741.684493,246,315.688269
-422.521248,216,316.917764
-429.022149,181,317.972
-550.176615,234,319.279046
-957.296233,273,320.651768
-587.02396,235,321.910594
-748.801304,246,323.217525
-650.648104,241,324.370917
-920.578098,307,326.090108
-661.587009,220,327.235588
-464.928203,190,328.181289
-785.522499,247,329.484821
-717.872889,250,330.808658
-735.814952,246,332.093224
-610.923015,207,333.209201
