# {"t_start": 1702201858.3638394, "env_id": "german-v01"} 
r,l,t
69.99,4,1.278524
-492.683984,131,1.855666
-424.519433,148,2.69587
-307.418262,104,3.119044
-435.071406,133,3.82759
-784.900024,206,4.719031
-493.833106,147,5.519993
-511.596789,154,6.327348
-999.328711,243,7.371357
-194.422942,88,7.966391
-652.034785,198,8.994388
-157.331366,71,9.300214
-260.303965,101,9.757234
-620.624436,161,10.579705
-313.123757,95,10.978199
-454.628233,129,11.734017
-397.272718,132,12.351737
-524.520518,139,13.115238
-389.969167,152,13.839983
-158.960316,88,14.506424
-329.703288,127,15.104724
-402.256048,143,15.907207
-391.169393,141,16.544199
-463.154139,140,17.347326
-237.034356,96,17.78848
-252.807802,83,18.288753
-481.68868,163,19.05332
-531.571925,150,19.824777
-453.065511,143,20.545062
-113.66307,80,21.05689
-321.660297,128,21.635665
-310.58391,114,22.296917
-271.7405,105,22.77026
-370.321947,127,23.45863
-224.647228,108,23.984431
-647.617478,188,24.959157
-274.902396,126,25.567757
-453.406731,156,26.412549
-483.449234,182,27.389669
-392.466257,130,27.973856
-278.413492,98,28.399853
-315.201835,123,29.089516
-210.389469,94,29.526033
-474.019861,135,30.212231
-219.748046,96,30.656669
-287.416988,106,31.270226
-157.577222,90,31.696413
-202.388635,94,32.125877
-218.789387,75,32.595134
-525.287694,149,33.243853
-341.754836,113,33.868286
-408.024112,127,34.44593
-422.250108,117,35.077742
-97.463221,77,35.444507
-290.190493,125,36.038061
-260.459794,119,36.734385
-997.248169,235,37.841802
-266.10372,111,38.352086
-158.486506,87,38.891867
-524.715384,140,39.504825
-712.709935,209,40.556872
-369.382618,126,41.136627
-227.125488,97,41.730578
-95.738193,75,42.096163
-242.807298,87,42.480455
-133.22829,80,43.003865
-95.576974,93,43.466227
-197.064373,106,43.975221
-185.18556,89,44.540026
-222.703906,110,45.061034
-334.737896,132,45.79281
-482.819918,128,46.349312
-191.167448,75,46.808745
-159.00793,88,47.223462
-151.094095,90,47.665709
-43.091582,67,48.142956
-196.779662,101,48.619999
-6.458953,45,48.84719
-122.030833,86,49.276196
-73.539391,73,49.780892
-160.687665,71,50.106529
-146.738216,84,50.504229
-164.959574,83,51.02611
-112.570083,70,51.367283
-132.187817,91,51.812939
-13.948205,65,52.27881
-19.303676,54,52.551247
37.846595,56,52.86168
-13.648472,60,53.181436
-2.513726,60,53.494087
34.093254,38,53.821589
-9.854681,56,54.109107
1.682737,49,54.367227
-63.953969,64,54.687996
-4.89405,39,54.889014
-9.15816,53,55.287916
-21.723316,63,55.634274
16.672226,54,55.917887
-30.762279,58,56.219505
20.050428,50,56.487447
5.084297,40,56.817438
-2.959701,64,57.154412
-17.195575,48,57.393435
-97.121551,74,57.749746
-36.460115,48,58.126334
32.207038,40,58.33967
24.555289,38,58.536277
-80.875573,62,58.828774
-0.415963,50,59.082909
-62.078487,63,59.530826
29.464972,47,59.782756
2.180442,45,60.00841
-18.347401,53,60.283187
-7.448715,47,60.523225
21.771625,44,60.751203
13.242606,43,61.105327
62.586729,38,61.314301
32.625709,45,61.584543
41.815921,41,61.79801
4.481107,59,62.120829
72.064432,41,62.365431
-57.812743,54,62.740212
42.839084,43,63.023083
-9.895545,51,63.29129
2.64646,44,63.502002
-8.173315,48,63.77329
36.309519,31,64.048333
41.772313,46,64.294573
34.446574,36,64.504908
3.397122,47,64.762231
1.168744,51,65.017664
0.967283,47,65.252995
44.566573,35,65.571187
84.657703,33,65.759921
35.842742,36,65.944094
-8.066616,48,66.183621
64.977619,32,66.36041
65.104667,32,66.537405
53.725483,38,66.740682
4.153483,40,67.073836
45.943686,34,67.263398
65.597474,29,67.421351
35.533972,34,67.598984
35.399934,36,67.79069
35.518255,35,67.976505
84.79452,30,68.157041
85.26985,30,68.329669
31.942815,46,68.700124
35.33925,33,68.880282
12.068657,47,69.127359
84.391274,32,69.309113
73.740463,34,69.500242
77.739473,25,69.640438
65.399626,30,69.807608
35.074706,33,70.122503
46.184607,30,70.277788
66.284357,29,70.443471
74.919707,35,70.645754
44.8961,37,70.847153
65.43057,30,71.010651
75.132704,31,71.188879
76.475657,25,71.334348
85.746392,27,71.631688
96.170578,24,71.777576
87.357105,21,71.897867
76.089811,26,72.045539
55.360978,32,72.222399
-66.321498,49,72.453494
86.227146,25,72.603935
76.682491,26,72.753239
66.175154,27,72.903492
54.998046,34,73.212127
55.444332,31,73.386383
85.51578,27,73.53861
74.873223,30,73.708722
75.764899,28,73.868392
86.33606,25,74.014757
87.704008,20,74.130069
76.124411,26,74.27756
66.236061,28,74.438134
85.580933,27,74.594189
66.016837,29,74.879456
86.960062,23,75.023292
75.635241,28,75.178727
87.898157,20,75.293867
86.450208,24,75.432688
46.271514,29,75.585989
75.930823,28,75.744204
87.108053,22,75.872473
67.312677,25,76.00848
96.113266,26,76.164217
67.387972,25,76.430364
97.176288,22,76.5608
96.825858,23,76.706136
67.880094,21,76.8228
55.746187,29,76.981179
57.367423,24,77.111592
87.428429,23,77.245361
86.740431,24,77.382076
76.856826,24,77.520146
67.163712,24,77.655158
96.956914,22,77.786605
87.617385,20,78.035562
87.836307,20,78.158106
87.737336,21,78.285179
87.558855,20,78.408401
77.825238,23,78.538713
87.137237,23,78.672715
86.303149,26,78.821629
88.098311,19,78.93259
75.703263,28,79.091322
76.43698,27,79.243342
87.209871,22,79.37112
98.17508,19,79.612171
97.384612,22,79.744171
98.026658,19,79.859732
97.031262,23,80.010223
76.405783,25,80.154148
86.761013,24,80.293421
77.644135,21,80.436924
86.587224,25,80.584276
77.398161,22,80.706676
37.553437,25,80.831067
97.185366,22,80.96314
77.78722,21,81.219842
57.278849,25,81.353173
87.156886,22,81.481314
76.733371,24,81.61769
87.908202,19,81.734867
77.32185,22,81.865027
77.154698,23,81.996959
87.020671,23,82.128429
97.390967,20,82.250266
97.449585,20,82.370886
87.381228,21,82.492357
97.754267,20,82.616541
87.012174,23,82.885562
77.494958,22,83.0083
97.468718,20,83.127632
97.436339,20,83.247771
86.94616,23,83.386962
68.164031,23,83.521423
77.472189,23,83.652637
98.452871,18,83.767543
98.814689,19,83.891326
86.654337,24,84.02981
87.091103,22,84.158279
97.907475,20,84.276355
87.330087,22,84.532275
76.770725,24,84.667642
85.807742,27,84.825468
75.777895,29,84.990102
97.22264,22,85.126912
95.716289,26,85.29174
66.920808,26,85.438219
97.952025,20,85.561765
97.856117,18,85.67771
97.646584,20,85.800674
97.590542,20,85.923824
97.467239,20,86.179336
87.157864,22,86.307658
87.365945,21,86.428332
97.977466,18,86.537757
87.637562,20,86.654541
67.638993,22,86.775689
97.383176,21,86.906836
87.614904,21,87.032505
97.998344,20,87.153261
97.477464,20,87.273623
98.097162,18,87.381067
77.245682,23,87.515284
98.180215,19,87.635314
97.823165,18,87.880022
87.6494,20,87.998174
97.841827,19,88.112217
98.100489,17,88.217074
97.596046,21,88.34359
97.196395,21,88.46916
97.878003,18,88.585474
97.437623,22,88.716185
97.1422,21,88.842811
98.108282,17,88.946634
97.2033,24,89.08858
87.157059,23,89.22235
87.253862,22,89.481295
97.622686,19,89.605537
96.49174,23,89.74232
97.305277,21,89.872463
77.665447,21,89.994484
88.182402,19,90.107212
97.85036,18,90.221025
97.865865,18,90.332421
98.346352,19,90.448339
76.728321,25,90.587512
87.685344,20,90.72359
97.734594,19,90.847681
87.644028,20,90.985227
97.928017,18,91.239087
87.645877,20,91.37152
98.570547,18,91.494025
98.058295,20,91.619614
97.751832,20,91.745274
87.908433,21,91.86838
87.867873,19,91.982742
96.766932,22,92.135763
87.168721,24,92.321756
77.443116,22,92.454128
97.634176,20,92.574604
97.758136,19,92.698198
98.121648,19,92.837963
96.522114,23,93.144206
77.972068,22,93.297846
87.959892,19,93.414569
97.842851,18,93.533653
97.328469,21,93.66978
97.174122,21,93.818325
86.971768,24,93.978368
98.794442,17,94.094014
97.303999,21,94.220944
98.588868,17,94.325028
87.732997,23,94.457961
87.308765,21,94.587788
98.034747,18,94.833192
77.490894,22,94.959954
87.647712,20,95.07911
98.35154,18,95.18819
87.746185,20,95.306638
96.378844,24,95.449832
96.946542,22,95.588555
97.560657,20,95.713048
98.11069,17,95.821019
97.646699,20,95.942466
97.709493,19,96.056973
97.900983,18,96.168033
97.846825,18,96.277571
