setting,num_episodes,noise,train_time,efficacy,sparsity,l1,time,gaussian,plausible,path
01_0.99_256_0.0001_0.2,15000,non,0,100.0,1.0(0.0),0.09(0.05),1.35,0.41(0.07),0.75(0.14),0.5(0.17)
01_0.99_256_0.0001_0.2,15000,pla,0,100.0,1.06(0.24),0.18(0.07),3.59,0.05(0.02),0.19(0.07),0.11(0.11)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.02(0.14),0.22(0.12),16.73,0.08(0.03),0.26(0.1),0.04(0.06)
01_0.99_256_0.0001_0.2,15000,pla,0,100.0,1.02(0.14),0.16(0.05),2.76,0.13(0.03),0.4(0.11),nan(nan)
01_0.99_256_0.0001_0.2,15000,pla,0,100.0,1.02(0.14),0.16(0.05),2.56,0.03(0.02),0.1(0.06),nan(nan)
01_0.99_256_0.0001_0.2,15000,pla,0,99.0,1.07(0.26),0.2(0.09),3.62,0.03(0.01),0.11(0.05),nan(nan)
01_0.99_256_0.0001_0.2,15000,pla,0,99.0,1.09(0.29),0.21(0.1),3.47,0.06(0.02),0.21(0.07),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.15(0.05),2.61,0.04(0.02),0.14(0.06),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.15(0.05),2.5,0.11(0.03),0.34(0.1),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.15(0.05),2.38,0.11(0.03),0.35(0.1),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.15(0.05),2.59,0.16(0.03),0.46(0.11),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.16(0.05),2.47,0.09(0.03),0.3(0.11),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.04(0.2),0.17(0.06),2.78,0.06(0.02),0.21(0.09),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.14(0.05),2.11,0.15(0.03),0.44(0.14),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.03(0.17),0.16(0.05),2.55,0.07(0.02),0.26(0.09),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.07(0.26),0.2(0.09),3.37,0.03(0.01),0.12(0.05),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,97.0,1.19(0.39),0.24(0.11),4.19,0.01(0.01),0.05(0.03),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,92.0,1.38(0.49),0.35(0.2),6.94,0.0(0.0),0.01(0.01),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,96.0,1.24(0.43),0.27(0.12),5.02,0.01(0.0),0.03(0.02),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.05(0.22),0.2(0.09),3.34,0.03(0.01),0.13(0.05),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.17(0.04),2.96,0.05(0.02),0.18(0.07),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.17(0.05),3.08,0.05(0.02),0.17(0.06),0.09(0.08)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.04(0.2),0.23(0.1),18.58,0.05(0.02),0.19(0.08),0.02(0.03)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.32,0.41(0.07),0.75(0.14),0.28(0.17)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.41,0.41(0.07),0.75(0.14),0.4(0.18)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.39,0.41(0.07),0.75(0.14),0.42(0.16)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.36,0.41(0.07),0.75(0.14),0.55(0.17)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.41,0.41(0.07),0.75(0.14),0.59(0.17)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.18(0.07),3.37,0.05(0.02),0.19(0.07),0.19(0.15)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.18(0.07),3.18,0.05(0.02),0.19(0.07),0.28(0.18)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.05(0.22),0.18(0.06),3.24,0.05(0.02),0.19(0.07),0.04(0.07)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.18(0.07),3.28,0.05(0.02),0.18(0.07),0.03(0.06)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.18(0.07),3.31,0.05(0.02),0.2(0.08),0.0(0.01)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.22(0.11),15.97,0.08(0.03),0.27(0.1),0.01(0.02)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.05(0.22),0.25(0.15),20.51,0.06(0.03),0.2(0.08),0.0(0.01)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.05(0.22),0.24(0.11),19.31,0.06(0.02),0.2(0.09),0.01(0.04)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.05(0.22),0.23(0.11),18.31,0.05(0.02),0.19(0.08),0.09(0.1)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.24(0.12),19.41,0.06(0.03),0.2(0.09),0.14(0.1)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.18(0.06),3.14,0.09(0.02),0.3(0.09),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.06(0.24),0.18(0.06),3.28,0.01(0.01),0.05(0.03),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,98.0,1.07(0.26),0.25(0.13),21.25,0.01(0.02),0.05(0.05),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.05(0.22),0.25(0.12),19.63,0.09(0.03),0.3(0.12),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.28,0.43(0.06),0.77(0.14),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.0(0.0),0.09(0.05),1.33,0.37(0.08),0.68(0.15),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.07(0.26),0.22(0.09),17.9,0.05(0.02),0.19(0.08),nan(nan)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.05(0.22),0.22(0.09),17.14,0.06(0.03),0.2(0.09),0.05(0.07)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.06(0.24),0.22(0.11),16.07,0.05(0.02),0.19(0.08),0.05(0.07)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.03(0.17),0.31(0.19),23.91,0.06(0.02),0.2(0.08),0.02(0.06)
01_0.99_256_0.0001_0.2,15000,pth,0,99.0,1.02(0.14),0.16(0.07),12.03,0.11(0.03),0.36(0.12),0.11(0.09)
01_0.99_256_0.0001_0.2,15000,pth,0,100.0,1.01(0.1),0.16(0.06),11.26,0.13(0.03),0.38(0.13),0.11(0.1)
