setting,num_episodes,noise,train_time,efficacy,sparsity,l1,time,gaussian,plausible,path
01_0.99_256_0.0001_0.2,19530,pal,0,100.0,1.0(0.0),0.04(0.02),61.35,0.1(0.08),0.11(0.08),0.01(0.03)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.03),62.08,0.09(0.08),0.1(0.07),0.01(0.03)
01_0.99_256_0.0001_0.2,19530,non,0,100.0,1.0(0.0),0.03(0.01),0.51,0.14(0.14),0.15(0.14),0.05(0.11)
01_0.99_256_0.0001_0.2,19530,pth,0,86.96,1.0(0.0),0.3(0.05),156.11,0.11(0.07),0.21(0.05),0.24(0.09)
01_0.99_256_0.0001_0.2,19530,pth,0,99.13,1.0(0.0),0.48(0.13),354.88,0.09(0.04),0.21(0.05),0.05(0.1)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.61,0.14(0.14),0.15(0.13),0.03(0.09)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.62,0.14(0.14),0.14(0.13),0.02(0.08)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.6,0.14(0.14),0.14(0.13),0.05(0.11)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.6,0.13(0.14),0.14(0.13),0.05(0.11)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.57,0.14(0.14),0.14(0.13),0.03(0.09)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),49.35,0.1(0.08),0.11(0.08),0.02(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.02),46.82,0.1(0.08),0.11(0.08),0.02(0.05)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),46.8,0.1(0.09),0.11(0.08),0.01(0.02)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),49.16,0.1(0.08),0.11(0.07),0.0(0.0)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),47.21,0.1(0.08),0.11(0.08),0.01(0.02)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),49.68,0.1(0.08),0.1(0.07),0.01(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),50.78,0.1(0.08),0.11(0.08),0.01(0.05)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.02),47.76,0.1(0.08),0.11(0.08),0.01(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.03),51.84,0.1(0.08),0.11(0.07),0.02(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.03),50.39,0.09(0.08),0.11(0.07),0.02(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),48.53,0.14(0.09),0.16(0.09),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),48.16,0.05(0.07),0.05(0.05),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),48.22,0.05(0.07),0.04(0.05),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.03),50.81,0.14(0.09),0.15(0.09),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.6,0.17(0.13),0.18(0.13),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.03(0.01),0.62,0.09(0.13),0.09(0.12),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),49.6,0.1(0.08),0.11(0.08),0.01(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),48.24,0.1(0.08),0.1(0.07),0.01(0.03)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),47.93,0.1(0.08),0.11(0.07),0.02(0.08)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.03),52.5,0.09(0.08),0.1(0.07),0.01(0.05)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.04),54.93,0.09(0.07),0.11(0.08),0.01(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),48.78,0.1(0.08),0.1(0.07),0.01(0.04)
01_0.99_256_0.0001_0.2,19530,pth,0,100.0,1.0(0.0),0.04(0.02),48.72,0.1(0.08),0.11(0.08),0.01(0.03)
