setting,num_episodes,noise,train_time,efficacy,sparsity,l1,time,gaussian,plausible,path
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),10.18,0.43(0.07),0.54(0.11),0.51(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,71.21,1.95(0.84),0.61(0.32),20.03,0.05(0.03),0.09(0.05),0.19(0.13)
01_0.99_256_0.0001_0.2,19530,pth,0,82.49,1.86(0.84),0.54(0.33),15.74,0.14(0.05),0.22(0.09),0.28(0.15)
01_0.99_256_0.0001_0.2,19530,pth,0,71.21,1.78(0.88),0.45(0.31),28.13,0.14(0.05),0.2(0.07),0.29(0.23)
01_0.99_256_0.0001_0.2,19530,pth,0,70.43,1.77(0.87),0.47(0.32),29.41,0.1(0.04),0.14(0.06),0.29(0.24)
01_0.99_256_0.0001_0.2,19530,pth,0,67.32,1.95(0.92),0.54(0.33),32.68,0.06(0.03),0.1(0.05),0.23(0.22)
01_0.99_256_0.0001_0.2,19530,pth,0,63.81,1.53(0.79),0.34(0.35),17.81,0.08(0.05),0.09(0.06),0.12(0.12)
01_0.99_256_0.0001_0.2,19530,pth,0,64.98,1.53(0.79),0.33(0.35),14.32,0.1(0.06),0.11(0.08),0.14(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,68.48,1.48(0.72),0.32(0.33),26.78,0.09(0.06),0.11(0.08),0.21(0.26)
01_0.99_256_0.0001_0.2,19530,pth,0,64.98,1.53(0.79),0.32(0.33),28.63,0.06(0.04),0.08(0.06),0.19(0.25)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),9.81,0.43(0.07),0.54(0.11),0.45(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),9.91,0.43(0.07),0.54(0.11),0.49(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),10.07,0.43(0.07),0.54(0.11),0.49(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),10.06,0.43(0.07),0.54(0.11),0.52(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),9.46,0.43(0.07),0.54(0.11),0.52(0.13)
01_0.99_256_0.0001_0.2,19530,pth,0,81.71,1.86(0.84),0.54(0.33),16.88,0.14(0.05),0.22(0.08),0.34(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,80.93,1.84(0.84),0.53(0.33),16.26,0.14(0.05),0.22(0.08),0.31(0.15)
01_0.99_256_0.0001_0.2,19530,pth,0,81.71,1.85(0.84),0.54(0.33),17.88,0.14(0.05),0.22(0.08),0.21(0.14)
01_0.99_256_0.0001_0.2,19530,pth,0,82.1,1.85(0.84),0.54(0.33),16.78,0.14(0.05),0.22(0.08),0.12(0.11)
01_0.99_256_0.0001_0.2,19530,pth,0,81.71,1.84(0.83),0.54(0.33),16.44,0.14(0.05),0.22(0.08),0.2(0.13)
01_0.99_256_0.0001_0.2,19530,pth,0,69.26,1.76(0.8),0.47(0.33),31.96,0.15(0.05),0.21(0.08),0.24(0.25)
01_0.99_256_0.0001_0.2,19530,pth,0,74.71,1.84(0.91),0.5(0.34),34.11,0.11(0.06),0.17(0.08),0.2(0.28)
01_0.99_256_0.0001_0.2,19530,pth,0,68.09,1.73(0.84),0.46(0.31),31.34,0.12(0.05),0.18(0.08),0.24(0.24)
01_0.99_256_0.0001_0.2,19530,pth,0,69.65,1.79(0.86),0.46(0.32),31.23,0.13(0.05),0.18(0.07),0.29(0.19)
01_0.99_256_0.0001_0.2,19530,pth,0,72.76,1.79(0.82),0.48(0.32),29.9,0.13(0.05),0.18(0.08),0.33(0.18)
01_0.99_256_0.0001_0.2,19530,pth,0,80.93,1.84(0.84),0.53(0.32),18.23,0.18(0.04),0.28(0.08),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,82.1,1.85(0.84),0.54(0.33),16.65,0.09(0.07),0.13(0.09),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,71.98,1.76(0.86),0.48(0.32),30.76,0.07(0.08),0.1(0.09),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,69.65,1.78(0.82),0.48(0.31),32.88,0.16(0.04),0.23(0.08),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),10.21,0.43(0.07),0.55(0.11),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,93.39,1.65(0.7),0.43(0.34),9.79,0.43(0.07),0.52(0.1),nan(nan)
01_0.99_256_0.0001_0.2,19530,pth,0,75.1,1.82(0.88),0.49(0.32),31.05,0.13(0.05),0.19(0.08),0.29(0.22)
01_0.99_256_0.0001_0.2,19530,pth,0,70.43,1.83(0.91),0.48(0.33),31.4,0.13(0.06),0.2(0.09),0.26(0.2)
01_0.99_256_0.0001_0.2,19530,pth,0,70.82,1.71(0.87),0.44(0.32),29.09,0.11(0.06),0.16(0.08),0.33(0.28)
01_0.99_256_0.0001_0.2,19530,pth,0,76.65,1.71(0.82),0.47(0.33),29.03,0.18(0.04),0.25(0.07),0.3(0.19)
01_0.99_256_0.0001_0.2,19530,pth,0,69.65,1.84(0.92),0.48(0.34),30.94,0.12(0.06),0.17(0.08),0.27(0.23)
