setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.0005_0.2,0,15.34,34.265,0.163,0.869,2.0,0.366,13.969,5344.02,0.28
01_0.99_256_0.0005_0.2,0,8.72,8.134,0.381,0.917,2.0,0.533,30.442,2017.04,0.35
01_0.99_256_0.0005_0.2,2000,0,0.5,4.991,1.0,1.0,3.302,100.0,92.99,0.54
01_0.99_256_0.0001_0.2,0,0.87,7.677,0.87,0.052,1.0,0.36,100.0,692.35,0.39
01_0.99_256_0.0001_0.2,15000,0,100.0,0.338,0.89,1.0,0.723,21.5,129.82,0.23
01_0.99_256_0.0001_0.2,20000,15935.77,100.0,0.036,0.0,1.0,0.18,100.0,78.97,0.37
01_0.99_256_0.0001_0.2,15000,0,99.917,0.323,0.909,1.0,0.683,20.365,3969.2,0.24
01_0.99_256_0.0001_0.2,15000,0,100.0,0.036,0.0,1.0,0.18,100.0,76.57,0.37
01_0.99_256_0.0001_0.2,15000,0,100.0,0.036,0.0,1.0,0.18,100.0,73.59,0.41
01_0.99_256_0.0001_0.2,15000,0,100.0,0.114,0.0,1.1,0.375,100.0,0.84,0.19
01_0.99_256_0.0001_0.2,15000,0,100.0,0.082,0.0,0.0,0.349,100.0,3.13,0.19
01_0.99_256_0.0001_0.2,15000,0,100.0,0.083,0.0,1.06,0.352,100.0,3.46,0.19
01_0.99_256_0.0001_0.2,15000,0,100.0,0.038,0.0,1.0,0.186,100.0,1.33,0.75
01_0.99_256_0.0001_0.2,15000,0,100.0,0.368,1.0,1.02,0.854,14.0,15.83,0.28
